M1-L: Comparison of Mean ADCs for PMT 3 before and after resistors
	   (1439)  	    (1458)
Pixel	   Mean	   Sigma     Mean    Sigma
1	   182     76	     197     62
2	   256     73	     168     60
3	   233     74	     177     56
4	   235     73	     190     60
5	   216     77	     204     50
6	   186	   68	     197     58
7	   127     41	     164     48		
8	   160     63	     203     67     
9	   143     43	     155     61
10	   193     71	     197     56
11	   1019    313	     939     328
12	   219     52	     185     48	
14	   183     44	     189     57
15	   251     81	     186     64
