Comparison of mean adc for PMT 13 before and after resistors.
          (1440)              (1510)
Pixel     Mean     Sigma      Mean      Sigma
2         437       137       748      559
3         337       122       620      540
4         751       234       661      167
5         338       120       699      262
6         605       208       700      236
7         393       119       730      316
8         473       163       733      165
9         407       163       763      213
10        322       95        614      429
11        403       168       758      301
12        792       183       714      155
13        528       123       688      234
14        452       132       689      264
15        397       107       700      200
