Comparison of Mean ADCs for PMT 3 before and after resistors
	   (1335)  	    (1354)
Pixel	   Mean	   Sigma     Mean    Sigma
1	   182     76	     197     62
3	   256     73	     168     60
4	   233     74	     177     56
5	   235     73	     190     60
6	   216     77	     204     50
7	   186     68	     197     58
8	   127     41	     164     48		
9	   160     63	     203     67     
10	   143     43	     155     61
12	   193     71	     197     56
13	   198    313	     185     328
14	   219     52	     185     48
15	   183     44	     189     57
16	   251     81	     186     64
