Run #: 1496	 PMT #: 1 	  Paramters of fitted ADC data with good TDC. 
Pixel # 	 Mean Value 	 Error 	 Sigma 

1	0	0	0
2	14.5619	0.18938	130.891
3	174.888	0.069592	46.3005
4	182.361	0.0728515	49.0316
5	151.563	0.0682898	45.9551
6	157.107	0.0570508	38.3377
7	150.105	0.0558905	38.0769
8	172.451	0.0791199	53.1544
9	161.832	0.0709467	48.0264
10	165.596	0.089336	59.6133
11	-1471.68	0.692844	469.158
12	168.94	0.0856084	57.8352
13	152.017	0.102014	65.3864
14	0	0	0
15	-1325.03	0.816357	545.341
16	160.147	0.105562	65.7949
